date,count
09/01/2022,352
08/31/2022,233
08/30/2022,242
08/29/2022,525
08/28/2022,233
08/27/2022,233
08/26/2022,233
08/25/2022,198
08/24/2022,219
08/23/2022,312
08/22/2022,317
08/21/2022,188
08/20/2022,188
08/19/2022,188
08/18/2022,313
08/17/2022,281
08/16/2022,248
08/15/2022,211
08/14/2022,237
08/13/2022,237
08/12/2022,237
08/11/2022,150
08/10/2022,239
08/09/2022,174
08/08/2022,184
08/07/2022,183
08/06/2022,183
08/05/2022,183
08/04/2022,189
08/03/2022,194
08/02/2022,299
08/01/2022,303
07/31/2022,237
07/30/2022,237
07/29/2022,237
07/28/2022,170
07/27/2022,265
07/26/2022,241
07/25/2022,279
07/24/2022,197
07/23/2022,197
07/22/2022,197
07/21/2022,171
07/20/2022,177
07/19/2022,232
07/18/2022,195
07/17/2022,217
07/16/2022,217
07/15/2022,217
07/14/2022,201
07/13/2022,251
07/12/2022,369
07/11/2022,339
07/10/2022,147
07/09/2022,147
07/08/2022,147
07/07/2022,228
07/06/2022,365
07/05/2022,163
07/04/2022,180
07/03/2022,193
07/02/2022,193
07/01/2022,193
06/30/2022,366
06/29/2022,441
06/28/2022,281
06/27/2022,271
06/26/2022,204
06/25/2022,204
06/24/2022,204
06/23/2022,476
06/22/2022,413
06/21/2022,283
06/20/2022,521
06/19/2022,437
06/18/2022,437
06/17/2022,437
06/16/2022,241
06/15/2022,554
06/14/2022,1108
06/13/2022,411
06/12/2022,411
06/11/2022,411
06/10/2022,411
06/09/2022,415
06/08/2022,268
06/07/2022,382
06/06/2022,345
06/05/2022,200
06/04/2022,200
06/03/2022,200
06/02/2022,285
06/01/2022,414
05/31/2022,186
05/30/2022,194
05/29/2022,205
05/28/2022,205
05/27/2022,205
05/26/2022,218
05/25/2022,239
05/24/2022,286
05/23/2022,231
05/22/2022,178
05/21/2022,178
05/20/2022,178
05/19/2022,384
05/18/2022,184
05/17/2022,215
05/16/2022,231
05/15/2022,164
05/14/2022,164
05/13/2022,164
05/12/2022,518
05/11/2022,240
05/10/2022,466
05/09/2022,705
05/08/2022,494
05/07/2022,494
05/06/2022,494
05/05/2022,171
05/04/2022,477
05/03/2022,296
05/02/2022,459
05/01/2022,226
04/30/2022,226
04/29/2022,226
04/28/2022,241
04/27/2022,306
04/26/2022,490
04/25/2022,237
04/24/2022,237
04/23/2022,237
04/22/2022,237
04/21/2022,197
04/20/2022,215
04/19/2022,182
04/18/2022,160
04/17/2022,160
04/16/2022,160
04/15/2022,160
04/14/2022,160
04/13/2022,154
04/12/2022,301
04/11/2022,265
04/10/2022,163
04/09/2022,163
04/08/2022,163
04/07/2022,278
04/06/2022,273
04/05/2022,229
04/04/2022,179
04/03/2022,171
04/02/2022,171
04/01/2022,171
03/31/2022,153
03/30/2022,188
03/29/2022,169
03/28/2022,273
03/27/2022,165
03/26/2022,165
03/25/2022,165
03/24/2022,189
03/23/2022,159
03/22/2022,153
03/21/2022,149
03/20/2022,139
03/19/2022,139
03/18/2022,139
03/17/2022,148
03/16/2022,182
03/15/2022,366
03/14/2022,228
03/13/2022,195
03/12/2022,195
03/11/2022,195
03/10/2022,186
03/09/2022,142
03/08/2022,326
03/07/2022,419
03/06/2022,359
03/05/2022,359
03/04/2022,359
